Tool / Technology,Profesia,Profession,CVOnline,Total
Meta Business Suite,1,0,0,1
Metasploit,1,0,0,1
MicroProfile,1,0,0,1
Microservice pattern,1,0,0,1
Microsoft (.NET,1,0,0,1
Microsoft .NET,1,0,0,1
Microsoft .NET Core/Framework,1,0,0,1
Microsoft .Net,1,0,0,1
Microsoft 365 (Azure AD,1,0,0,1
Microsoft 365 (OneDrive,1,0,0,1
Microsoft 365 (Outlook,1,0,0,1
Microsoft 365 (Power Apps),1,0,0,1
Microsoft 365 (Word,1,0,0,1
Microsoft 365 (including Microsoft Teams),1,0,0,1
Microsoft 365 - intermediate level,1,0,0,1
Microsoft 365 Copilot,1,0,0,1
Microsoft 365 Platform Engineer,1,0,0,1
Microsoft 365 Services,1,0,0,1
Microsoft 365 cloud security policies and MFA,1,0,0,1
Microsoft 365 ecosystem,0,1,0,1
Microsoft 365 services (Exchange Online,1,0,0,1
Microsoft 365 tools (Excel,0,1,0,1
Microsoft 365 tools (SharePoint,1,0,0,1
Microsoft 365/Azure Networking,1,0,0,1
Microsoft 365/Exchange Online,1,0,0,1
Microsoft AD,1,0,0,1
Microsoft ADFS,1,0,0,1
2N cloud,1,0,0,1
šifrovanie,1,0,0,1
Microsoft AppSource,0,1,0,1
Microsoft Azure - Basic,1,0,0,1
Microsoft Azure Active Directory,1,0,0,1
...,1,0,0,1
Microsoft Azure Cloud,0,0,1,1
Microsoft Azure Container Apps,1,0,0,1
Microsoft Azure Data,1,0,0,1
.C.,0,1,0,1
.C. ACCESS DOCKER AGILE REGRESSION TESTING CI,0,1,0,1
Microsoft Azure and M365 services,1,0,0,1
Microsoft Azure cloud platform,1,0,0,1
.C. ACCESS FRONTEND ANGULAR BACKEND,0,1,0,1
.C. CLOUD,0,1,0,1
Microsoft BI Suite (SSIS,1,0,0,1
.HTML.,0,1,0,1
.Net development environment,0,0,1,1
Microsoft D365,0,1,0,1
Microsoft DISM,1,0,0,1
Microsoft Data Protection,0,0,1,1
.net core 3.1+),1,0,0,1
Microsoft Defender solutions (Defender XDR),1,0,0,1
Microsoft Dynamics,0,0,1,1
1C (BASIC ERP),1,0,0,1
1Password Vault,0,0,1,1
Microsoft Dynamics 365 Business Central APIs (OData/REST),0,1,0,1
Microsoft Dynamics 365 CRM,0,1,0,1
Microsoft Dynamics 365 Customer Engagement,1,0,0,1
2D/3D CAD,1,0,0,1
system architecture,1,0,0,1
Microsoft Dynamics 365 Finance and Operations,0,0,1,1
Microsoft Dynamics 365 ecosystem,0,1,0,1
Microsoft Dynamics BC,0,1,0,1
3CX,1,0,0,1
Microsoft Dynamics CRM (Sales),0,1,0,1
Microsoft Dynamics NAV / Business Central,1,0,0,1
Microsoft Endpoint Configuration Manager (MEMCM),1,0,0,1
Microsoft Endpoint Manager,1,0,0,1
3D kernels,0,1,0,1
Microsoft Entra (Azure),1,0,0,1
3D modeling software,1,0,0,1
@SAP. AGILE PROJECT MANAGEMENT PMI,0,1,0,1
@SAP. AGILE SCRUM TEST AUTOMATION,0,1,0,1
@SAP. REST,0,1,0,1
@SAP. SERVICE MANAGEMENT,0,1,0,1
ABAP Cloud,1,0,0,1
ABAP Test Cockpit,1,0,0,1
Microsoft Excel: Expert,1,0,0,1
Microsoft Exchange - Basic,1,0,0,1
Microsoft Exchange Server,1,0,0,1
ABAP on HANA,1,0,0,1
ABAS ERP,0,1,0,1
Microsoft Graph API,1,0,0,1
.NET Core 3.1,1,0,0,1
ABB ASSEMBLY,0,1,0,1
ABB COGNEX AUTOMATIZÁLÁS,0,1,0,1
Microsoft Intune - Pokročilý,1,0,0,1
Microsoft Intune),1,0,0,1
Microsoft MS SQL Management Studio,1,0,0,1
ABBYY Vantage,1,0,0,1
Microsoft O365,0,1,0,1
Microsoft O365 Products,1,0,0,1
ABP framework,1,0,0,1
ABRA Software,1,0,0,1
ACCESS AGILE PROJECT MANAGEMENT,0,1,0,1
Microsoft Office (Outlook,1,0,0,1
Microsoft Office (Project,0,1,0,1
ACCESS DATABASE,0,1,0,1
ACCESS DATABASES,0,1,0,1
Microsoft Office - Expert,1,0,0,1
ACCESS HARDWARE,0,1,0,1
Microsoft Office / Microsoft 365 (užívateľská podpora),1,0,0,1
Microsoft Office 365 (E-mail,1,0,0,1
Microsoft Office 365 - Expert,1,0,0,1
Microsoft Office Suite; PMP or equivalent certification required,1,0,0,1
Microsoft Office products,0,1,0,1
ACCESS NETWORK,0,1,0,1
Microsoft Office suite,0,1,0,1
ACCESS SECURITY,0,1,0,1
Microsoft Office365,1,0,0,1
Microsoft OneDrive,1,0,0,1
ACCESS SECURITY C TESTING HARDWARE BACKEND ISO,0,1,0,1
Microsoft Outlook - Advanced,1,0,0,1
Microsoft Outlook - Pokročilý,1,0,0,1
Microsoft Outlook: Advanced,1,0,0,1
ACCESS SERVICE MANAGEMENT,0,1,0,1
Microsoft Outlook: Pokročilý,1,0,0,1
Microsoft Paint,1,0,0,1
ACCESS TEST AUTOMATION,0,1,0,1
ACCESS UAT,0,1,0,1
Microsoft Power BI - Mierne pokročilý,1,0,0,1
AD domain environment,0,0,1,1
Microsoft Power Platform (Copilot Studio,1,0,0,1
ADATBÁZIS KEZELÉS,0,1,0,1
Microsoft Power Platform (Power Automate,1,0,0,1
Microsoft Power Platform / Power Apps,1,0,0,1
Microsoft Power Platform tools,1,0,0,1
ADATTÁRHÁZ AZURE AWS DOCKER ANSIBLE,0,1,0,1
Microsoft Power Plattform,0,0,1,1
Microsoft PowerPlatform (PowerApps & PowerAutomate),1,0,0,1
ADATTÁRHÁZ DYNAMICS EXCEL,0,1,0,1
Microsoft PowerPoint: Expert,1,0,0,1
ADF (or in similar tools within AWS/GCP),1,0,0,1
Microsoft Purview,1,0,0,1
ADLS,1,0,0,1
Microsoft SCCM - Pokročilý,1,0,0,1
ADO.NET,1,0,0,1
Microsoft SQL Server (MSSQL),0,0,1,1
Microsoft SQL Server - Basic,1,0,0,1
Microsoft SQL Server - Pokročilý,1,0,0,1
Microsoft SQL Server 2022,0,0,1,1
Microsoft SQL Server Reporting Services,1,0,0,1
Microsoft SQL Server platforms,1,0,0,1
Microsoft SQL databases,1,0,0,1
ADOBE C CLOUD,0,1,0,1
Microsoft Services,1,0,0,1
ADOBE DATABASE CMS ANALYTICS POWERPOINT CLOUD @ADOBE,0,1,0,1
Microsoft SharePoint / Office 365,1,0,0,1
AEB for foreign trade,0,1,0,1
AFD,1,0,0,1
Microsoft Teams Direct Routing,1,0,0,1
Microsoft Teams Rooms (MTRs),1,0,0,1
AGILE ACCESS,0,1,0,1
AGILE CHANGE MANAGEMENT,0,1,0,1
AGILE MACHINE LEARNING JAVA PYTHON SECURITY,0,1,0,1
Microsoft Visual Studio 2026,1,0,0,1
Microsoft Viva Engage,0,1,0,1
AGILE PMI-,0,1,0,1
Microsoft Windows (11),1,0,0,1
Microsoft Windows - Advanced,1,0,0,1
Microsoft Windows 10 and 11,1,0,0,1
AGILE SCRUM,0,1,0,1
Microsoft Windows Server - Basic,1,0,0,1
Microsoft Windows operating systems,1,0,0,1
Microsoft Windows technologies,1,0,0,1
AGILE SECURITY TESTING,0,1,0,1
Microsoft Word - Pokročilý,1,0,0,1
Microsoft Word: Advanced,1,0,0,1
Microsoft Word: Expert,1,0,0,1
Microsoft applications like PowerPoint and Excel,0,1,0,1
Microsoft based operating systems and tools (Windows 10,1,0,0,1
Microsoft environments,1,0,0,1
Microsoft license models (Azure,0,1,0,1
Microsoft serverové prostredie (AD/DNS,1,0,0,1
Microsoft software products,1,0,0,1
Microsoft stack,1,0,0,1
Microsoft technologies (frontend,1,0,0,1
Microsoft technology stack,1,0,0,1
Microsoft tools,0,1,0,1
Microsoft ökoszisztémában szerzett tapasztalat (különösen SharePoint Online),0,1,0,1
Microsoft-based,1,0,0,1
AGILE SOFTWARE TESTING,0,1,0,1
AGILE TESTING HARDWARE,0,1,0,1
AGILIS C,0,1,0,1
AGILIS PMP,0,1,0,1
AI Storage platforms (e.g. WekaIO,0,1,0,1
Midjourney,1,0,0,1
Migration cockpit,0,1,0,1
AI agents,1,0,0,1
Mikroslužby,1,0,0,1
AI development tools,1,0,0,1
Mikrotik / Ubiquiti,1,0,0,1
Mikrotik RouterOS,1,0,0,1
Minitab,1,0,0,1
Minitab Engage,1,0,0,1
AI nástroje (Claude AI,1,0,0,1
Miro Board,1,0,0,1
Mobi-Control,1,0,0,1
MobiControl,1,0,0,1
Mobile Device Management,1,0,0,1
AI platforms,0,1,0,1
Mobisys Solution Builder (MSB),0,1,0,1
AI prototyping tools,0,1,0,1
AI solutions,0,1,0,1
AI tooling,0,1,0,1
Modbus,1,0,0,1
Model-driven),1,0,0,1
Modern development environment,1,0,0,1
Modern development tools,1,0,0,1
Modern workplace management tools (e.g.,1,0,0,1
Modular or service-oriented architectures,0,1,0,1
Modulario,1,0,0,1
AI-assisted tools and methods,0,1,0,1
Monday.com,1,0,0,1
AI-based tools or similar software,1,0,0,1
Mongo DB,1,0,0,1
Mongo databases,1,0,0,1
AI-enabled tools,0,1,0,1
AIRFLOW,0,1,0,1
MongoDB (Atlas),1,0,0,1
AIX,0,1,0,1
AIX or Windows,1,0,0,1
AIX/Linux,1,0,0,1
Monitoring,1,0,0,1
Monitoring - Prometheus,1,0,0,1
Monitoring / logging / SIEM,1,0,0,1
Monitoring a observability nástroje,1,0,0,1
Monitoring a prevádzka infraštruktúry (Zabbix),1,0,0,1
Morpheus,1,0,0,1
MoveIT,1,0,0,1
MoveIt,1,0,0,1
Ms Power BI,0,1,0,1
ALM,0,1,0,1
ALTOS,0,1,0,1
ALV,0,1,0,1
AML,1,0,0,1
Multi -Factor Authentication,1,0,0,1
ANALYTICS CLOUD AGILE CHANGE MANAGEMENT,0,1,0,1
ANALYTICS CLOUD C,0,1,0,1
Mural),1,0,0,1
ANALYTICS ISO,0,1,0,1
ANALYTICS TESTING,0,1,0,1
MySQL / MariaDB,1,0,0,1
MySQL 8,1,0,0,1
MySQL and Node,1,0,0,1
MySQL or PostgreSQL,1,0,0,1
AP+,1,0,0,1
APACHE SQL API,0,1,0,1
NAC,1,0,0,1
API (REST,1,0,0,1
API ACCESS,0,1,0,1
NAV,0,1,0,1
NEAR,0,0,1,1
NEOS,1,0,0,1
API AGILIS,0,1,0,1
API BACKEND REACT JAVASCRIPT AWS PYTHON POSTGRESQL DEVOPS AZURE NODE.JS DOCKER REST VUE,0,1,0,1
NETWORK API,0,1,0,1
NETWORK DATABASES,0,1,0,1
NETWORK DYNAMICS CHANGE MANAGEMENT PROJECT MANAGEMENT,0,1,0,1
NETWORK FRONTEND,0,1,0,1
API C LEAN,0,1,0,1
NETWORK PROJECT MANAGEMENT,0,1,0,1
API DYNAMICS CLOUD SECURITY ACCESS,0,1,0,1
API Dev,0,1,0,1
NETWORK SECURITY TESTING,0,1,0,1
NEXTTHINK,0,1,0,1
NFS,1,0,0,1
API Documentation,1,0,0,1
NGFW (NextGeneration FireWall) Fortinet,1,0,0,1
NGINX,1,0,0,1
API Gateway kong,1,0,0,1
API Platform,1,0,0,1
API REST,0,1,0,1
NIS,0,1,0,1
NIS2,1,0,0,1
API SECURITY DEVOPS GIT TESTING .C. ACCESS AGILE,0,1,0,1
API Testing,0,1,0,1
API development (RESTful or GraphQL),1,0,0,1
API gateways,1,0,0,1
API integration (REST,1,0,0,1
API integrácie,1,0,0,1
API testing,1,0,0,1
API teszteszközök (pl. SoapUI Postman),0,1,0,1
API tools (Swagger,1,0,0,1
API's,1,0,0,1
NRQL,1,0,0,1
NSX,1,0,0,1
API-Mgmt,0,1,0,1
NVIDIA GPU-Accelerated server platform,1,0,0,1
NVIDIA Isaac Sim,0,1,0,1
NVIDIA NIMs,0,1,0,1
API-Mgmt),0,1,0,1
NVIDIA/Mellanox diagnostics,1,0,0,1
API-k automatizált tesztelése (REST Assured,0,1,0,1
NVMe-based (e.g. NVMe-oF) solutions,0,1,0,1
APIs/microservices,0,1,0,1
APM depending on environment),1,0,0,1
APS,0,1,0,1
Nagios system,1,0,0,1
Name: ACCESS,0,1,0,1
Name: AZURE,0,1,0,1
Name: Ansible,0,1,0,1
Name: Bash,0,1,0,1
Name: CLOUD,0,1,0,1
Name: GDPR,0,1,0,1
Name: Git,0,1,0,1
Name: ISO,0,1,0,1
Name: Jenkins,0,1,0,1
Name: Maven,0,1,0,1
Name: NETWORK SECURITY,0,1,0,1
Name: Nexus,0,1,0,1
Nano Banana,1,0,0,1
Natuvion DCS,1,0,0,1
ARIBA),0,0,1,1
Navitaire,0,1,0,1
Nearline Storage,1,0,0,1
Neo4J,0,1,0,1
AS/400 környezet,0,0,1,1
AS400 / IBM i,1,0,0,1
Nessus,1,0,0,1
Nessus (Tenable Vulnerability Management),1,0,0,1
Nest.js,1,0,0,1
ASP.NET / ASP.NET Core,1,0,0,1
ASP.NET CORE,0,1,0,1
NetApp FAS / AFF / Ontap Select,1,0,0,1
NetApp ONTAP,1,0,0,1
NetApp OnCommand,1,0,0,1
NetApp Ontap,0,0,1,1
NetApp StorageGRID Webscale,1,0,0,1
ASP.NET Core,1,0,0,1
NetApp storage solutions,1,0,0,1
NetApp-Storage-Systeme,0,0,1,1
ASP.NET Core Razor Pages,1,0,0,1
NetSuite,0,0,1,1
NetWeaver,1,0,0,1
ASP.NET MVC,0,1,0,1
Netconf/YANG,1,0,0,1
ASP.NET MVC & WebAPI,1,0,0,1
Netlify,1,0,0,1
Netscaler,1,0,0,1
Netscaler (Citrix ADC),1,0,0,1
ATS like Eightfold,1,0,0,1
AUTOCAD,0,1,0,1
AUTODESK,0,1,0,1
Network Access,0,1,0,1
Network Access Control (NAC),1,0,0,1
AUTOMATED TESTS SOFTWARE TESTING,0,1,0,1
Network Security,0,1,0,1
AUTOSAR,0,1,0,1
Network monitoring tools (LibreNMS/Observium,1,0,0,1
AVRO,1,0,0,1
Networking (routing,1,0,0,1
AWC,1,0,0,1
AWS (CDK),1,0,0,1
Networking· - switching,1,0,0,1
New Relic,0,1,0,1
New Relic Dashboard,1,0,0,1
AWS (Cloudfront,1,0,0,1
Next JS,1,0,0,1
AWS (EC2,1,0,0,1
AWS (Lambda,1,0,0,1
Nextflow,0,1,0,1
AWS (serverless and other Platform As A Service modules of cloud platform),1,0,0,1
Nfs,1,0,0,1
NgRx,1,0,0,1
AWS - route53,1,0,0,1
NiFi,1,0,0,1
Nicelabel,1,0,0,1
AWS / Azure: Intermediate,1,0,0,1
AWS ACCESS,0,1,0,1
AWS API,0,1,0,1
AWS API ACCESS,0,1,0,1
AWS Bedrock),0,0,1,1
AWS CloudFront,1,0,0,1
AWS CloudWatch,0,1,0,1
AWS CodePipeline,0,1,0,1
AWS Convex + Redis,1,0,0,1
AWS EMR,1,0,0,1
NoSQL databases (Postgres,0,1,0,1
NoSQL databases like MongoDB,0,1,0,1
AWS Elastic Beanstalk,1,0,0,1
AWS Glue,0,1,0,1
Node-RED,1,0,0,1
Node-Red,1,0,0,1
AWS Kubernetes,1,0,0,1
AWS Lambda,1,0,0,1
Node.js (Express),1,0,0,1
Node.js (Express/Nest.js or other backend framework),1,0,0,1
Node.js with Express,0,1,0,1
AWS Redshift,0,1,0,1
Notebook,1,0,0,1
AWS SageMaker,1,0,0,1
AWS VPCs,0,1,0,1
Novitax,0,0,1,1
AWS certificate,0,0,1,1
Npm (as a user),1,0,0,1
AWS cloud platform,1,0,0,1
Nunjucks,0,1,0,1
Nutanix,1,0,0,1
AWS cloud services (S3,1,0,0,1
Nx,0,1,0,1
AWS components and services,1,0,0,1
O365 szabályok,0,1,0,1
OA,0,1,0,1
OADocs,1,0,0,1
AWS infrastructure and services,1,0,0,1
AWS or Azure,1,0,0,1
AWS serverless architecture,1,0,0,1
OCI,0,1,0,1
OCSP (CRL),1,0,0,1
ODATA),1,0,0,1
AWS services and/or containers/Kubernetes skills,1,0,0,1
ODIS,1,0,0,1
OData,0,1,0,1
AWS services like EC2,1,0,0,1
OData),0,1,0,1
OFTP2,1,0,0,1
OIDC and authentication and authorization),0,1,0,1
AWS services: EC2,1,0,0,1
AWS stack,1,0,0,1
OOD,1,0,0,1
OOP,1,0,0,1
OPERÁCIÓS RENDSZEREK,0,1,0,1
AWS/Azure,1,0,0,1
ORACLE ADATTÁRHÁZ,0,1,0,1
ORACLE ANSIBLE NETWORK ACCESS DEVOPS,0,1,0,1
ORACLE CENTOS MYSQL POSTGRESQL SQL PLSQL LINUX BASH CLOUD ITIL,0,1,0,1
ORACLE CLOUD BACKUP,0,1,0,1
ORACLE CLOUD DEVOPS,0,1,0,1
ORACLE DATABASE,0,1,0,1
ORACLE ERP DATABASES,0,1,0,1
AWS/Azure/GCP,1,0,0,1
OS Linux,1,0,0,1
OS Windows,1,0,0,1
AWS/Cloud computing,1,0,0,1
AWS/GCP,1,0,0,1
OSPF,1,0,0,1
OSPF routing protocol,1,0,0,1
AXIS,1,0,0,1
AZURE ANALYTICS,0,1,0,1
AZURE DYNAMICS BI C REACT SECURITY ISO DEVOPS POWER BI REST SCRUM AGILE,0,1,0,1
OTIS,0,1,0,1
OTRS,1,0,0,1
AZURE MACHINE LEARNING,0,1,0,1
OWASP,1,0,0,1
OWASP štandardy,1,0,0,1
OXID eShop,1,0,0,1
Object storage (e.g. Ceph,0,1,0,1
Object-Oriented Programming,1,0,0,1
Observability: Grafana,1,0,0,1
Octopus 8 ERP,0,0,1,1
Odata Services in the EWM S/4HANA environment,0,1,0,1
AZURE SECURITY BACKEND,0,1,0,1
Odoo ERP,1,0,0,1
AZURE SECURITY ISO SAP CLOUD AWS ACCESS @SAP,0,1,0,1
AZURE TEST AUTOMATION,0,1,0,1
Accelya,0,1,0,1
Office 365 ATP,1,0,0,1
Acrobat Pro,0,1,0,1
Office programok,0,0,1,1
Office suite,1,0,0,1
Office tools (Outlook,0,0,1,1
Acronis,1,0,0,1
Acronis True Image,1,0,0,1
Olympic core banking system,0,1,0,1
Omada/Unifi/Cisco,0,0,1,1
Omnichannel,0,1,0,1
Omnissa Horizon,1,0,0,1
Omron Halcon,0,1,0,1
One Identity Manager,1,0,0,1
Actions/GitLab CI,1,0,0,1
Active Directory / Azure AD (now Entra ID),1,0,0,1
OneStream,1,0,0,1
Open API,1,0,0,1
Open APIs (TMF620,0,1,0,1
Open ID Connect,1,0,0,1
Active Directory domains,1,0,0,1
Open Policy Agent (OPA),0,1,0,1
Open Telekom Cloud,1,0,0,1
Active Directory – základná správa účtov,1,0,0,1
OpenACC,0,1,0,1
Active directory,1,0,0,1
Actix,0,0,1,1
OpenAI Codex SDK,0,0,1,1
OpenAI SDK,1,0,0,1
OpenAI/Azure APIs,1,0,0,1
Actuator),1,0,0,1
OpenAPI (OAS),1,0,0,1
OpenAPI REST/HTTP Security - OWASP,1,0,0,1
OpenAPI/Javascript,1,0,0,1
Adatbázis-konzisztencia ellenőrzése,0,1,0,1
OpenApi,0,1,0,1
OpenApi 3,1,0,0,1
Adform,1,0,0,1
AdminLTE,1,0,0,1
Administrácia SAP,1,0,0,1
OpenCities Map PowerView,1,0,0,1
OpenCv,1,0,0,1
OpenFOAM,0,1,0,1
OpenGL,0,1,0,1
OpenID Connect,1,0,0,1
Adobe Acrobat,1,0,0,1
Adobe After Effects,1,0,0,1
OpenProject,1,0,0,1
OpenSCAP,1,0,0,1
Adobe Ai,0,1,0,1
OpenSearch (ElasticSearch),1,0,0,1
OpenSearch or Elasticsearch,0,1,0,1
Adobe Analytics,1,0,0,1
Adobe Creative Suite (Illustrator,1,0,0,1
OpenShift Containerization,1,0,0,1
Adobe Experience Manager,1,0,0,1
Adobe Forms,1,0,0,1
Adobe Id,0,1,0,1
Adobe Ps,0,1,0,1
OpenTelemetry libraries,0,1,0,1
OpenText,1,0,0,1
OpenTofu,1,0,0,1
OpenTofu with Terragrunt,0,1,0,1
OpenUI5,1,0,0,1
Adobe balík,1,0,0,1
OpenVINO,1,0,0,1
Adobe produkty – užívateľská podpora,1,0,0,1
Opensearch/Kibana,1,0,0,1
Adobe tools,0,1,0,1
Openshift (Kubernetes),1,0,0,1
Adobe tools (Photoshop,1,0,0,1
Adonis,1,0,0,1
Opsgenie,0,1,0,1
Ads Manager,1,0,0,1
Oracle & MySQL,1,0,0,1
Oracle - Pokročilý,1,0,0,1
Oracle 12c,1,0,0,1
Oracle 19,1,0,0,1
Advanced Custom Fields (ACF),1,0,0,1
Oracle Applications,0,1,0,1
Oracle CPQ Implementation,0,1,0,1
Advanced Excel,1,0,0,1
Agent Frameworks (Claude Agent SDK,0,0,1,1
Agile DevOps Network Project Management,0,1,0,1
Agile Network,0,1,0,1
Oracle Data analyzing,0,1,0,1
Agile Scrum,0,1,0,1
Oracle Database administration,1,0,0,1
Oracle E-Business Suite,1,0,0,1
Oracle EBS,0,1,0,1
Agile Test Management,0,1,0,1
Oracle ERP,1,0,0,1
Oracle Enterprise Manager Cloud Control,0,0,1,1
Oracle Exadata Cloud@Customer,0,0,1,1
Oracle Fusion Finance,1,0,0,1
Oracle HCM,0,1,0,1
Oracle Idom,1,0,0,1
Agile delivery methods and tools (e.g.,0,1,0,1
Agile development tools,0,1,0,1
Agile software development practices (e.g.,0,0,1,1
Oracle SQL Developer,1,0,0,1
Oracle Siebel CRM,1,0,0,1
Agile vývoj,1,0,0,1
Oracle Solaris,1,0,0,1
Oracle Zones,1,0,0,1
Oracle cloud,1,0,0,1
Oracle database,1,0,0,1
Agile/SCRUM practices and tools (e.g. Jira),1,0,0,1
Oracle),1,0,0,1
Agilné metodiky,1,0,0,1
Agilné metodiky (Scrum / Kanban),1,0,0,1
OracleSQL/PostgreSQL,0,1,0,1
Orion,1,0,0,1
Ahrefs/Semrush,1,0,0,1
Airflow),0,1,0,1
P92 and P93),1,0,0,1
Airflow/MLflow,1,0,0,1
Airflow/NiFi,1,0,0,1
PANDAS R,0,1,0,1
Airtable,0,1,0,1
PC HW/SW,1,0,0,1
PC HW/SW Diagnosic,1,0,0,1
Ajax,1,0,0,1
PC/tablet,1,0,0,1
Akamai Image and Video Manager,1,0,0,1
Akeneo tool,1,0,0,1
PECI,1,0,0,1
PF,1,0,0,1
PG SQL/Oracle SQL,1,0,0,1
PGO/AutoFDO/LTO,0,1,0,1
Akixi reporting,1,0,0,1
Akka toolkit,1,0,0,1
PHPUNIT,0,1,0,1
Alert manager,1,0,0,1
PI,0,1,0,1
PIDT,1,0,0,1
PIM,1,0,0,1
Alfresco,1,0,0,1
PKI solutions,0,0,1,1
Ali cloud,1,0,0,1
PL/SQL (Oracle),1,0,0,1
PL/SQL development experience,0,1,0,1
Alibaba Cloud,1,0,0,1
PLC KEYENCE,0,1,0,1
PLC NETWORK SECURITY SCADA ACCESS TIA PORTAL TROUBLESHOOTING,0,1,0,1
PLC testing/programming,1,0,0,1
PLCs,0,1,0,1
PLM,1,0,0,1
PLM systems,0,1,0,1
Allen Bradley (Rockwell Automation),1,0,0,1
PMI PROJECT MANAGEMENT,0,1,0,1
Alma Letters (including XSLT),0,1,0,1
PMP PROJECT MANAGEMENT,0,1,0,1
PNPM,1,0,0,1
POSTGRES SQL,1,0,0,1
AlmaLinux,1,0,0,1
Altaro VM Backup,1,0,0,1
Alteryx/KNIME,1,0,0,1
PP,1,0,0,1
Altium Designer,0,0,1,1
PPT,1,0,0,1
Amazon QuickSight,1,0,0,1
Amdosoft b4,1,0,0,1
Analytics platforms (Mixpanel,0,0,1,1
PSQL,1,0,0,1
PSSQL,1,0,0,1
PTC Codebeamer,1,0,0,1
PTC Integrity,1,0,0,1
PUDIS,1,0,0,1
Android Jetpack,1,0,0,1
Android OS,1,0,0,1
PYTHON SECURITY,0,1,0,1
PaaS solutions,0,1,0,1
Android REST/SOAP webové služby,1,0,0,1
Packer,1,0,0,1
Pact),0,1,0,1
PagerDuty,0,1,0,1
Paint.NET,1,0,0,1
Pair programming,1,0,0,1
Android: Advantage,1,0,0,1
Angular 8+,1,0,0,1
Angular JS,0,1,0,1
Palantir's Foundry platform,1,0,0,1
Palantir/Databricks,1,0,0,1
Palivové karty,1,0,0,1
Ansible AWX,1,0,0,1
Palo Alto Networks,1,0,0,1
Palo Alto firewalls,1,0,0,1
Palo Alto),1,0,0,1
Ansible Tower,1,0,0,1
Ansible/Chef/Puppet/Salt,1,0,0,1
Panasonic,1,0,0,1
Ansible/Puppet,1,0,0,1
Ansible/Salt-stack/Terraform/Helm,1,0,0,1
Parallel file systems (e.g. Lustre,0,1,0,1
Ansible: Advanced,1,0,0,1
Payment processing (RevenueCat,0,0,1,1
Ansys Fluent,0,1,0,1
Pega application development (SA or SSA level),1,0,0,1
Pega low-code platform,1,0,0,1
Penpot,1,0,0,1
Perforce,1,0,0,1
Ant/Maven,1,0,0,1
PetaLinux,0,1,0,1
PgBouncer,1,0,0,1
Antd/Pro,1,0,0,1
AntiVirus,1,0,0,1
Antigravity,1,0,0,1
Phpstan,1,0,0,1
Phyton,1,0,0,1
Antivirus products,1,0,0,1
Pinia,1,0,0,1
Pipelines,1,0,0,1
Antivirus solutions,1,0,0,1
Pixel mobile,0,1,0,1
PixiJS,1,0,0,1
PlanetScale,1,0,0,1
Planon,1,0,0,1
PlantUML,1,0,0,1
Planview,1,0,0,1
AnyDesk,1,0,0,1
Play Framework,0,1,0,1
Playwirght,0,1,0,1
AnywhereNow),1,0,0,1
Playwright or Cypress,0,1,0,1
Plotly,1,0,0,1
PlotlyJS,1,0,0,1
Apache Airflow orchestration,1,0,0,1
Pohoda,1,0,0,1
Apache Cassandra,0,1,0,1
Apache Cloud,0,1,0,1
Poly,1,0,0,1
Polylang,1,0,0,1
Apache HTTP,1,0,0,1
Port scanners,1,0,0,1
PortSwigger Web Security Academy,0,1,0,1
Portfolio,1,0,0,1
Apache HTTP Server,1,0,0,1
Apache Hadoop,0,1,0,1
Apache Server,1,0,0,1
Apache Superset,0,1,0,1
Apache Wicket,1,0,0,1
Apache/Nginx,1,0,0,1
PostgreSQL 9.6+,1,0,0,1
PostgreSQL servers,1,0,0,1
PostgreSQL),1,0,0,1
Apex,1,0,0,1
Postgres DB,1,0,0,1
Apex Data Loader,0,1,0,1
Postgres/Cassandra,1,0,0,1
PostgresSQL,1,0,0,1
App Dynamics,1,0,0,1
Postman / SoapUI,1,0,0,1
App Insights,1,0,0,1
Power App,1,0,0,1
App Service,1,0,0,1
Power Apps (Canvas,1,0,0,1
Power Apps / Power Automate,0,1,0,1
App Store Connect,1,0,0,1
Power Aps,0,1,0,1
AppSpace,1,0,0,1
Power Automate),1,0,0,1
Appian,0,1,0,1
Power BI (Cloud & Desktop),1,0,0,1
Power BI - DAX,1,0,0,1
Power BI Service,1,0,0,1
Power BI reporting,0,1,0,1
Power BI service,1,0,0,1
Power BI …),1,0,0,1
Appinsight Azure,1,0,0,1
Power BI/ SQL,0,0,1,1
Power BI/Looker Studio,1,0,0,1
Power Designer,1,0,0,1
Apple devices,1,0,0,1
Power Pivot,1,0,0,1
AppsFlyer,1,0,0,1
Power Platform (Power Apps,0,1,0,1
Appsheet,1,0,0,1
Power Platform (Power BI,0,1,0,1
Power Platform (Power BI/Power Automate),0,1,0,1
Arc42,0,1,0,1
ArcGIS Online,1,0,0,1
ArcGIS Pro,1,0,0,1
ArcMap,1,0,0,1
Power Shell,1,0,0,1
Power platforms,1,0,0,1
ArchiMate,1,0,0,1
PowerApps/Automate,0,1,0,1
PowerAutomate and PowerApps,1,0,0,1
PowerBI),1,0,0,1
Archibus,1,0,0,1
PowerCenter Informatica,1,0,0,1
PowerHA,1,0,0,1
Archiles,1,0,0,1
PowerPlatform,1,0,0,1
Archimate,1,0,0,1
PowerPoint and Word),1,0,0,1
Arduino IDE,1,0,0,1
Argo,1,0,0,1
Argo CD/Flux (GitOps),0,1,0,1
PowerShell scripting for automation and administration,1,0,0,1
